PDB_ID	bits
6tm5B	0.04629
6q6gC	0.04077
2kreA	0.03826
2ysjA	0.03163
3pa6B	0.02969
4ui9B	0.02615
7dcoM	0.02304
4xi1A	0.02162
5g05B	0.02162
3l46A	0.02029
2yslA	0.01787
4wz2C	0.01678
2c2lD	0.01678
4qplC	0.01222
5khrB	0.01076
3knvA	0.01076
3l1zB	0.0101
7p47A	0.0101
8fkySM	0.0101
2eciA	0.0101
5l9uB	0.008896
2f42A	0.00835
8qhcD	0.006903
2c2vS	0.005707
2oxqD	0.005027
3l46B	0.004428
8a38C	0.003436
3jveA	0.003436
5gm6a	0.003224
2ct2A	0.003224
7xedD	0.003224
5jg6A	0.003026
8fkxSM	0.00284
3fl2A	0.002666
3l11A	0.002502
1z6uA	0.002502
1z6uB	0.002502
5jg6D	0.002502
2couA	0.002204
4gb0A	0.002204
7xedC	0.002068
2d8mA	0.001941
3pd7B	0.001506
3ztgB	0.001327
8a38B	0.001245
4b7yC	0.0009662
4b86L	0.0008511
3hcuA	0.0008511
5vnzD	0.0006198
7zj3A	0.0006198
Q7KYU6	7.423
C6YB47	3.937
G3XAC3	3.468
A0A7J8G4H0	2.224
A0A2K5VLC7	2.088
Q6YK80	1.339
A0A2D4F5D1	0.9152
A0A226MJ00	0.8062
A0A2P4TG44	0.4853
A0A2K6GB04	0.4012
A0A6G0HXZ0	0.3317
A0A4P8DKQ8	0.2922
A0A6I9XDM4	0.2922
A0A386IPW7	0.2922
A0A663DLL7	0.2742
E7EQW4	0.2267
H2YZY5	0.1874
A0A5C6PTS9	0.1759
A0A386IN34	0.1651
A0A386IN42	0.155
A0A1A8Q3C8	0.1454
A0A2K6MZI1	0.1281
A0A7G8KP79	0.07712
A0A649UB25	0.05984
A0A2U3Z3N7	0.05984
A0A1W4XGE1	0.05271
A0A4Z2CH12	0.05271
A0A819HWG2	0.04643
A0A3B3QM89	0.04643
A0A6M2E0L2	0.04643
A0A2G8K1P6	0.04358
E9HKX6	0.03381
A0A821BWR9	0.03173
A0A815UBD2	0.02623
A0A2D4KID6	0.02036
A0A1I8IDV1	0.02036
A0A813WNU4	0.01579
Q99LI1	0.01579
A0A821S259	0.01579
A0A1Z5LFT5	0.01482
A0A821M8G7	0.01391
A0A3N6R3P6	0.01391
A0A819J358	0.01391
A0A4Y7IIL0	0.0115
A0A819R4L6	0.01079
A0A482W0G8	0.01013
A0A821IWB2	0.006924
A0A4D5RSQ1	0.006499
A0A821HC04	0.006099
A0A287GC94	0.006099
